Date,Open,High,Low,Close,Volume
28-Sep-17,12.76,12.84,12.55,12.74,35812311
27-Sep-17,12.65,12.87,12.50,12.74,59651021
26-Sep-17,12.85,12.93,12.43,12.45,68302025
25-Sep-17,13.25,13.28,12.49,12.61,84172237
22-Sep-17,13.20,13.40,13.12,13.30,50546957
21-Sep-17,14.00,14.24,13.32,13.41,166821947
20-Sep-17,13.07,13.80,12.80,13.74,102682437
19-Sep-17,13.25,13.29,12.88,13.12,65455230
18-Sep-17,12.77,13.30,12.74,13.08,83517385
15-Sep-17,12.33,12.66,12.31,12.52,50337411
14-Sep-17,12.15,12.46,12.11,12.26,37220155
13-Sep-17,12.22,12.36,12.12,12.22,37210654
12-Sep-17,12.66,12.68,12.21,12.30,54413148
11-Sep-17,12.46,12.74,12.40,12.55,43346052
8-Sep-17,12.57,12.61,12.04,12.25,60886232
7-Sep-17,12.84,12.94,12.60,12.63,35816911
6-Sep-17,13.02,13.08,12.75,12.86,34182430
5-Sep-17,12.88,13.18,12.65,12.92,51578710
1-Sep-17,13.12,13.48,13.04,13.19,53158562
